Japanese,Korean
天原,아마하라
masha,마샤
Ｗ18,W18
杉本臣希,스기모토 토모키
スタンク,스탕크
ティンカーベル,팅커벨
ザ・ドワ妻,더 드와즈마
ヒト美,히토미
美少女魔法学院イグワーツ,미소녀 마법 학원 이그와츠
トオノ物語,토오노 이야기
サキュバス街,서큐버스 거리
エルマ,엘마
オーク,오크
オーガ,오거
エルフ,엘프
ゼル,젤
メイドリー,메이드리
食酒亭,식주정
クリム,크림
クリムヴェール,크림베르
カンチャル,칸찰
ナルガミ,나루가미
ラミア,라미아
ブルーズ,블루즈
サムターン,샘턴
カーマ・スートラ,카마수트라
華麗なる小大河,화려한 소대하
ヨガン大洞穴,요간 대동굴
有翼人,유익인
ケルピー,켈피
ドライアド,드라이어드
ガルーダ,가루다
ガンダルヴァ,간다르바
セイレーン,세이렌
東京,도쿄
ニャンニャン天国,냥냥 천국
みー,미
神さま,하느님
天界,천계
エルザ,엘자
サキュバス,서큐버스
《性転換の宿屋》,《성전환 여관》
性転換の宿屋,성전환 여관
時を越える召喚嬢,시간을 넘나드는 소환 아가씨
シロクマ,흰곰
ルーズ,루즈
マジホ,마지호
森の泉,숲의 샘
複乳パラダイス,복유 파라다이스
ザ・ビッグタスク,더 빅 태스크
熟々塾,무르익은 학원
パパッ子陽知園,파파의 아이 요치엔
泡姫Ｗピースランド,거품 공주 W 피스 랜드
呪麗館,주려관
ハイアイアイ,하이아이아이
ミステリーサークル,미스터리 서클
バジリ娘倶楽部,바질리 처녀 클럽
バジリスク,바실리스크
デミア,데미아
リム,림
リジー,리지
Ｆ,F
ＮＧ,NG
リジーちゃん,리지 쨩
北方,북방
隣村,인접 마을
モコモコリジー,모코모코 리지
シルキー,실키
ブラウニー,브라우니
座敷童子,자시키와라시
ぼっちゃま,도련님
扉のスキマ,문의 틈새
シロップ,시럽
ドラゴン,드래곤
ドリアード,드리아드
インボー,인보
田中,다나카
ミノタウロス,미노타우로스
チャラ男,챠라오
ＮＴＲ専門店《扉のスキマ》,NTR 전문점 《문의 틈새》
ねむとぴあ,네무토피아
ピルティア,피르티아
アロエ,알로에
花蜜,하나미츠
高祖母,고조모
キュバス,큐바스
空の果てのサキュバス店,하늘 끝의 서큐버스 가게
廃都の朽ち木,폐도의 썩은 나무
西の王都,서쪽 왕도
新都,신도
西の荒地,서쪽 황무지
飛んで食酒亭,톤데 쇼쿠슈테이
ハッピータワー,해피 타워
エロエロタワー,에로에로 타워
ドスケベ塔,도스케베 탑
ランタ,란타
天使クリムヴェール,천사 크림 베일
海老反りブリッジ天使オナニー,새우등 브릿지 천사 자위
魔王,마왕
プリム,프림
羅針盤,나침반
座敷童子ヤチヨ,자시키와라시 야치요
ヤチヨ,야치요
グレートソード,그레이트 소드
李葉,이엽
ユメ,유메
葉原鉄,하바라 테츠
W18,W18
三坂泰二,미사카 야스지
株式会社ＫＡＤＯＫＡＷＡ,주식회사 KADOKAWA
日本,일본
異種族レビュアーズ,이종족 리뷰어즈
えくすたしー・でいず,엑스터시 데이즈
信,신
